Name,Phone,Website,Address
India's Tandoori,(310) 268-9100,http://indiastandoori.us,"11819 Wilshire Blvd Ste 206, Los Angeles, CA 90025"
Nizam Indian Cuisine,(310) 470-1441,http://www.nizamofindialaca.com,"10871 W Pico Blvd, Los Angeles, CA 90064"
Anar Indian Restaurant,(323) 466-0422,http://tajindiapalacela.us,"1807 N Cahuenga Blvd, Los Angeles, CA 90028"
Taj India Palace,(310) 337-1423,http://tajmahalofindiala.us,"8320 Lincoln Blvd, Los Angeles, CA 90045"
Taj Mahal of India,(310) 652-8598,http://manasla.com,"8566 W Pico Blvd, Los Angeles, CA 90035"
Manas Indian Restaurant,(323) 731-4333,http://www.grubhub.com/restaurant/hurry-curry-indian-food-12825-venice-blvd-los-angeles/1096122,"2823 S Vermont Ave, Los Angeles, CA 90007"
Govinda's Natural Food Restaurant,(310) 836-1269,http://cardamomlosangeles.us,"3764 Watseka Ave, Los Angeles, CA 90034"
India's Restaurant,(323) 912-9230,http://www.badmaashla.com,"4366 Fountain Ave, Los Angeles, CA 90029"
Hurry Curry,(310) 398-2948,http://www.currykingla.com,"12825 Venice Blvd, Los Angeles, CA 90066"
Samosa House Sunset,(323) 913-0014,http://www.biriyanikabobhousela.com,"3200 W Sunset Blvd, Los Angeles, CA 90026"
Cardamom Indian Cuisine,(323) 936-1000,http://www.electrickarma.com,"7233 Beverly Blvd, Los Angeles, CA 90036"
Badmaash,(213) 221-7466,http://notomatoescafe.com,"108 W 2nd St Apt 104, Los Angeles, CA 90012"
Curry King,(323) 982-7267,http://www.indiascurryplace.com,"2830 Fletcher Dr, Los Angeles, CA 90039"
Biriyani Kabob House,(213) 384-3570,http://www.houseofcurryla.com,"3525 W 3rd St, Los Angeles, CA 90020"
Electric Karma,(323) 653-2121,http://www.saffronindia.com,"8222 1/2 W 3rd St, Los Angeles, CA 90048"
No Tomatoes! an Indian Cafe,(310) 289-1133,http://www.kapoorsakbar.com,"8516 W 3rd St, Los Angeles, CA 90048"
Indias Curry Place,(323) 644-6977,http://akbarcuisineofindia.com,"311 N Virgil Ave, Los Angeles, CA 90004"
House of Curry,(323) 732-2222,http://www.saffronindia.com,"1888 S Western Ave, Los Angeles, CA 90006"
Star of India Tandoori Restaurant,(323) 939-6815,http://mrmasalala.com,"730 Vine St, Los Angeles, CA 90038"
Gills Indian Restaurant,(213) 623-1050,http://www.handikabab.com,"838 S Grand Ave, Los Angeles, CA 90017"
Saffron,(213) 687-0555,http://www.amardeshindianrestaurant.com,"300 S Grand Ave, Los Angeles, CA 90071"
Kapoors Akbar,(213) 372-5590,http://www.indiasclaypit.com,"701 W Cesar E Chavez Ave, Los Angeles, CA 90012"
Akbar Cuisine Of India,(310) 574-0666,http://www.miajeetandoori.com,"701 W Cesar E Chavez Ave, Los Angeles, CA 90012"
Indus,(213) 688-1400,https://www.aponhalaltandoorila.com,"735 S Figueroa St, Los Angeles, CA 90017"
Daisy,(323) 730-1192,http://www.losangelesbombaygrill.com,"4158 W Pico Blvd, Los Angeles, CA 90019"
Bombay Grill,(323) 798-5197,http://starofindiala.com,"6775 Santa Monica Blvd, Los Angeles, CA 90038"
Star Of India Tandoori Restaurant,(323) 939-6815,http://eastindiagrillla.com,"7330 S St Andrews Pl, Los Angeles, CA 90047"
Kwality Of America,(323) 936-8844,http://www.flavorofindia.com,"1245 S Fairfax Ave, Los Angeles, CA 90019"
Flavor of India,(323) 745-5181,http://www.currybowlla.com,"7950 W Sunset Blvd, Los Angeles, CA 90046"
Curry Bowl Ind,(424) 335-0060,http://tajtandoori.net,"8504 W 3rd St, Los Angeles, CA 90048"
Akbar Cuisine of India,(310) 652-7755,http://www.abhiruchigrill.com/index.html,"8514 W 3rd St # 16, Los Angeles, CA 90048"
Tandoori Eats,(424) 298-8525,http://tarashimalayancuisine.com,"10004 National Blvd, Los Angeles, CA 90034"
Taj Tandoori,(310) 204-2569,http://www.spice-affair.com/CenturyCity,"10823 Venice Blvd, Los Angeles, CA 90034"
Abiruchi Grill,(310) 204-2569,http://www.currypotla.com,"10823 Venice Blvd, Los Angeles, CA 90034"
Tara's Himalayan Cuisine,(310) 836-9696,http://www.maharajalosangeles.com,"10855 Venice Blvd, Los Angeles, CA 90034"
Spice Affair Century City,(310) 556-9000,http://www.chutneyslosangeles.com,"10250 Santa Monica Blvd, Los Angeles, CA 90067"
Curry Pot,(424) 222-3791,http://www.thebombayfrankiecompany.com,"1321 Westwood Blvd, Los Angeles, CA 90024"
Maharaja Cuisine of India,(310) 231-0770,http://www.claypitbelair.com,"1321 Westwood Blvd, Los Angeles, CA 90024"
Chutneys,(310) 477-6263,http://www.gillsrestaurant.com,"2406 S Barrington Ave, Los Angeles, CA 90064"
The Bombay Frankie Company,(310) 444-9241,http://anarkalilosangeles.us,"11261 Santa Monica Blvd, Los Angeles, CA 90025"
